title,area_max_building_height_m,area_avg_building_height_m,area_total_building_area_m2,max_tree_height,canopy_cover,area_max_tree_height,area_avg_tree_height,area_canopy_cover,area_tree_count,area_greenspace_m2,area_private_gardens_m2
300 9,15.1,5.68,7110,19.75,219.06,22.91,12.44,13574,161,2292.37007914498,10642.2720823578
301 1,7.5,4.24,8481,15.62,60.81,22.59,6.27,3532.7,126,222.42572762529,23269.3538876951
301 10,10.3,4.97,3641,14.59,134.75,22.11,11.04,10197.6,154,9320.70741148026,7346.43453524748
301 11,10.4,4.57,3993,17.2,157.19,27.49,11.26,16186.1,230,7389.83052307591,16471.4702373693
301 12,10.8,5.15,9708,19.69,253.62,22.94,9.16,6251.6,151,0,18201.9315266284
301 2,8.8,4.9,7254,19.12,201,22.94,14.57,9241.5,103,0,15300.5690162206
301 3,10.3,4.48,6145,12.06,55.5,21.84,15.01,5497,60,0,7864.86386961664
301 4,11.1,4.83,4471,0,0,21.84,15.18,6262.6,73,0,6156.49780059035
301 5,10.8,5.33,10394,20.52,397.12,22.94,12.37,8188.2,124,0,15262.3667148469
301 6,9.6,4.79,6866,11.82,94.94,22.89,8.1,8379.3,192,0,18750.356662054
301 7,11.1,5.24,5690,19.85,366.44,21.64,10.94,5441.7,86,0,14400.1923901506
301 8,10.4,4.97,7163,17.89,235.06,20.92,10.03,11670.3,199,1359.68595000776,14580.3606881634
301 9,8.7,5.03,8658,19.48,233.69,19.48,7.3,3557.8,106,0,19514.0243428386
302 1,7.7,5.08,4763,0,0,23.19,11.36,7386.7,115,0,9675.51392798271
302 10,6.7,4.79,6325,15.05,125.06,21.32,9.67,7203.9,134,0,26865.1616466512
302 11,7.8,4.43,5742,17.69,199.5,20.79,13.74,4987.9,67,0,6628.11226398337
302 12,7.7,4.64,6234,15.37,75.5,20.31,9.77,5522.3,102,0,20849.1248452288
302 2,10.1,5.49,5189,20.99,256.5,20.99,10.65,8012.3,133,0,12875.7492542176
302 3,8.3,5.14,6513,13.54,235.12,18.68,9.02,5850.9,108,0,24141.3523561873
302 4,7.3,4.92,6746,25.96,177.19,25.96,9.67,6781.3,119,1714.08962513792,22394.1155284912
302 5,9.3,5.12,6237,18.93,200.62,25.63,10.73,8277.4,143,0,21132.0510790103
302 6,10.3,5.18,3071,12.53,1.69,22.11,11.38,10475.7,153,10148.7269182332,6014.56851764409
302 7,11.1,5.29,6887,20.01,206.56,20.18,11.63,6815.6,127,0,12978.4944763682
302 8,8.6,4.63,6071,9.21,227.25,21.32,10.76,7585.8,136,0,22810.9408249114
302 9,11.1,5.13,4732,19.2,232.88,21.64,11.37,6787.8,117,0,17238.065236731
303 1,7.3,5.01,3419,15.88,11.94,25.96,9.86,8598.5,135,8922.87745698288,11465.2916246552
303 11,7.7,5.11,7803,0,0,17.61,9.12,3107.6,66,0,19991.1518007862
303 12,5.7,3.89,1747,0,0,19.46,8.18,7183.1,118,9905.1845150924,4657.30446652687
303 2,6.1,4.31,511,0,0,18.19,7.74,9158.4,163,15251.9149070524,2051.86393691538
303 3,7.8,5.69,1018,0,0,21.17,10.82,6224.7,89,7655.50890670469,1619.27505288566
303 5,10.6,4.18,11364,0,0,18.48,10.73,5837.1,91,3820.09256446299,0
303 7,11.4,4.71,1776,9.28,162.88,19.41,8.02,7316.2,108,11364.4444610907,2565.72995949435
303 8,7.1,4.38,5191,8.65,40,19.46,7.04,2454.3,79,173.73104130305,15430.1534441278
303 9,11.4,8,1621,8.54,107,17.62,8.81,10821.5,177,16782.4084490382,947.64615624689
304 1,8.5,4.03,2091,0,0,8.5,5.76,25.9,2,0,0
304 10,3.4,2.7,59,0,0,10.29,6.12,675,18,1334.27067049044,0
304 11,11.2,5.91,11258,13.49,269.19,17.2,11.08,4197.9,60,2874.82564028882,0
304 12,1.9,1.83,48,13.58,285.94,26.34,8.41,13183.8,225,17501.9491284694,0
304 2,7,3.82,2872,11.59,3.88,22.7,8.63,3102.9,66,1229.91785051499,0
304 3,19.1,5.25,5185,18.19,320.88,19.5,11.08,10226.5,148,9476.18819594025,0
304 4,3.5,3,62,10.95,350.88,26.34,8.57,17611.6,295,27215.7339647175,0
304 5,10,5.18,2201,0,0,8.41,4.29,281.8,17,0,0
304 6,3.7,3.4,8,11.47,28.12,26.34,7.42,6805.8,123,10539.7418487923,0
304 7,11.1,4.7,4029,0,0,12.93,6.52,903,27,0,0
304 8,7,3.74,4518,20.62,266.69,22.7,10.08,2381.2,53,0,0
304 9,5.5,2.74,6006,0,0,18.31,9.16,11530.5,198,14229.125658968,0
305 1,7.1,3.14,3130,0,0,23.96,16.47,1371,23,1738.9840502411,0
305 10,17.3,6.68,12318,0,0,22.89,10.66,6931.5,123,1736.9979194755,0
305 11,9.3,5.11,3021,12.93,100.81,15.38,7.13,2208.9,64,0,0
305 12,7.1,3.38,3747,0,0,10.6,5.63,1666.8,38,1948.05147541504,0
305 2,17.3,6.25,5102,0,0,21.98,9.8,3834.6,65,874.49355494426,0
305 3,8.3,4.43,2892,9.09,93.88,14.11,6.6,5004.7,96,13937.7891367906,0
305 4,6.7,3.8,2903,9.24,10.75,14.63,6.16,2829.4,70,11365.5938272761,0
305 5,10.2,3.96,3120,0,0,23.96,11.79,7497.4,122,4026.23823145269,0
305 6,20.1,8.13,10701,0,0,13.12,9.2,376.4,7,561.179342558428,0
305 7,8.1,4.07,9725,0,0,12.87,6.49,2456.7,52,8210.08683074021,0
305 8,7.1,2.99,4166,0,0,10.45,7.33,160.9,8,0,0
305 9,8.8,5.24,17001,7.83,0,15.99,7.3,1793.2,41,3363.48439324783,0
306 1,9.9,4.18,1644,15.79,381.5,20.28,11.38,20099.6,253,10776.7800288243,0
306 10,10.6,6.83,11931,0,0,11.04,4.67,218.5,9,0,0
306 11,12.1,7.08,12693,0,0,15.73,9.31,1170.8,30,237.431601553588,0
306 12,34.7,8.21,12085,7.44,30.75,7.44,6.24,77.9,5,0,0
306 2,8.2,4.18,1912,0,0,23.96,11.26,9586.9,132,7273.2345686737,0
306 3,6.7,4.07,8958,0,0,22.89,9.63,5021.4,92,2378.67968266597,0
306 4,12.4,7.12,13163,0,0,11.02,6.68,1997.9,39,0,0
306 5,6.3,4.03,4489,13.59,278.88,23.96,11.65,19557.5,275,9538.23240347726,0
306 6,8.2,4.17,3752,9.26,45.88,14.74,6.5,1928.4,56,920.167533734639,0
306 7,9.9,5.71,18337,0,0,14.92,8.89,2434.3,52,632.566812830628,0
306 8,10.6,7.36,11369,0,0,20.28,10.45,5001.7,67,2306.24719585224,0
306 9,34.7,6.68,11202,0,0,10.16,5.03,613.1,40,0,271.626165170106
307 1,9.2,7.45,12265,0,0,13.56,8.08,2650.3,46,0,0
307 10,9.5,5.45,7940,4.18,17.38,22.38,8.54,8054.2,195,0,1798.3410096321
307 11,13,6.02,11264,8.84,126.88,11.48,8.6,1472.9,34,0,0
307 12,34.7,7.17,11831,0,0,9.27,5.37,374.2,17,0,0
307 2,17.7,5.48,13363,0,0,8.550000000000002,6.14,583.4,18,0,0
